EMPRESA                       POBLACIÓN           TELÉFONO            RESPONSABLE

BELTRÁN E HIJOS               MADRID              914456435           null
EL ESPAÑOLITO                 BARCELONA           934565343           ANA FERNÁNDEZ
EXPORTASA                     MADRID              913452378           null
LA CASA DEL JUGUETE           MADRID              912649987           null
JUGUETERÍA SUÁREZ             BARCELONA           933457866           JUAN GARCÍA
FERETERÍA EL CLAVO            MADRID              914354866           null
JUGUETES MARTÍNEZ             BARCELONA           936628554           FRANCISCO CUEVAS
DEPORTES GARCÍA               MADRID              913299475           null
EXCLUSIVAS FERNÁNDEZ          BARCELONA           939558365           LUISA FERNÁNDEZ
BAZAR FRANCISCO               ZAMORA              980495288           CARLOS BELTRÁN
CONFECCIONES GALÁN            MADRID              913859234           null
BAZAR EL BARAT                BARCELONA           936692866           ELISA DAPENA
EL PALACIO DE LA MODA         MADRID              927785235           null
FERRETERÍA LA ESCOBA          MADRID              918459346           null
JUGUETES EL BARATO            BARCELONA           933486984           ELVIRA IGLESIAS
BAZAR EL ARGENTINO            MADRID              912495973           null
DEPORTES NAUTICOS GARCÍA      ÁVILA               920268648           JUAN CONRADO
CONFECCIONES RUIZ             BARCELONA           934587615           CARLOS SANZ
BAZAR LA FARAONA              MADRID              915483627           null
FERRETERÍA EL MARTILLO        SALAMANCA           923548965           JOAQUÍN FERNANDEZ
JUGUETES EDUCATIVOS SANZ      MADRID              916872354           null
ALMACENES FERNANDEZ           TERUEL              978564025           MARIA ARDANZA
CONFECCIONES MÓNICA           BARCELONA           935681245           PEDRO SERRANO
FERRETERÍA LIMA               MADRID              913532785           null
DEPORTES EL BRASILEÑO         SALAMANCA           921548762           CARLOS GÓMEZ
